prediction_method,iw_threshold,seed,n_source,n_target,n_val_source,n_val_target,h_val_acc,domain_log_odds_clipped_count,source_strength,domain_temperature,domain_source_prior,domain_target_prior,domain_cal_balanced_accuracy,domain_cal_brier,n_source_critic_train_region,n_target_critic_train_region,n_source_critic_select_region,n_target_critic_select_region,iw_error_contribution,target_residual_mass,n_source_a,n_source_b,n_target_a,n_target_b,status,estimate_kind,confidence_bound_available,epsilon,iw_weight_sum,iw_effective_n,iw_weight_max,iw_weight_p50,iw_weight_p95,residual_target_disagreement,residual_error_contribution,error_estimate_raw,accuracy_estimate_raw,lower_bound,output_clipped,critic_epoch,critic_repeat,critic_selection_score,critic_selection_source_disagreement,critic_selection_target_disagreement,dataset,shift,train_method,bound_strategy,dim,src_accuracy,h_full_acc,trg_accuracy,trg_eval_accuracy,split_file,run_id,bound_valid,bound_valid_eval,residual_source_error,residual_source_disagreement,residual_discrepancy,delta,error_upper_bound_raw,max_ts_agree_diff
iw_residual_dis2,1.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.4046154022216797,0.2502044141292572,906.0,35.0,459.0,14.0,0.046594460379709816,0.4153846153846154,874.0,751.0,38.0,27.0,ok,plugin,False,,869.3635174735069,873.985510728233,0.9999783995034343,0.9954214401814736,0.9996173801023032,0.48148148148148145,-0.017371709515517784,0.029222750864192033,0.970777249135808,0.970777249135808,False,43.0,14.0,0.2231559157371521,0.6339869499206543,0.8571428656578064,entity13,2,BN_adapt,logits,13,0.9160000085830688,0.9160000085830688,0.8538461327552795,0.892307698726654,splits_entity13_BN_adapt_2_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,0.08388814913448735,0.607190412782956,-0.1257089313014746,,,
iw_overlap_critic,2.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.4046154022216797,0.2502044141292572,,,,,0.08549179993603254,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.6031730514296,1624.9410484565392,1.0169836812494013,0.9994533457795531,1.008375883871066,,0.0,0.08549179993603254,0.9145082000639675,0.9145082000639675,False,,,,,,entity13,2,BN_adapt,logits,13,0.9160000085830688,0.9160000085830688,0.8538461327552795,0.892307698726654,splits_entity13_BN_adapt_2_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
iw_residual_dis2,2.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.4046154022216797,0.2502044141292572,,,,,0.08549179993603254,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.6031730514296,1624.9410484565392,1.0169836812494013,0.9994533457795531,1.008375883871066,,0.0,0.08549179993603254,0.9145082000639675,0.9145082000639675,False,,,,,,entity13,2,BN_adapt,logits,13,0.9160000085830688,0.9160000085830688,0.8538461327552795,0.892307698726654,splits_entity13_BN_adapt_2_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
iw_overlap_critic,5.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.4046154022216797,0.2502044141292572,,,,,0.08549179993603254,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.6031730514296,1624.9410484565392,1.0169836812494013,0.9994533457795531,1.008375883871066,,0.0,0.08549179993603254,0.9145082000639675,0.9145082000639675,False,,,,,,entity13,2,BN_adapt,logits,13,0.9160000085830688,0.9160000085830688,0.8538461327552795,0.892307698726654,splits_entity13_BN_adapt_2_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
iw_residual_dis2,5.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.4046154022216797,0.2502044141292572,,,,,0.08549179993603254,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.6031730514296,1624.9410484565392,1.0169836812494013,0.9994533457795531,1.008375883871066,,0.0,0.08549179993603254,0.9145082000639675,0.9145082000639675,False,,,,,,entity13,2,BN_adapt,logits,13,0.9160000085830688,0.9160000085830688,0.8538461327552795,0.892307698726654,splits_entity13_BN_adapt_2_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
dis2_reference,,0,6500,260,1625,65,0.91446153819561,,,,,,,,,,,,,,,,,,ok,dis2_with_correction,True,0.20271232772930264,,,,,,,,-0.024615384349456204,1.024615384349456,0.8219030566201535,,47.0,23.0,0.14051282405853271,0.5261538624763489,0.6666666865348816,entity13,2,BN_adapt,logits,13,0.9160000085830688,0.9160000085830688,0.8538461327552795,0.892307698726654,splits_entity13_BN_adapt_2_0_a9f9637e0b08.npz,a9f9637e0b08,True,True,,,,0.01,0.17809694337984644,-0.11015384615384616
iw_overlap_critic,1.0,0,6500,260,1625,65,0.9126153846153846,0.0,1.0,25.396963119506836,0.5,0.5,0.4976922869682312,0.24999010562896729,1000.0,38.0,469.0,19.0,0.04284233538333156,0.5384615384615384,801.0,824.0,30.0,35.0,ok,plugin,False,,792.101134155715,800.9235839120635,0.9999904626019942,0.9917117197580985,0.9993540574389966,0.7142857142857143,0.3846153846153846,0.4274577199987161,0.5725422800012838,0.5725422800012838,False,49.0,23.0,0.5978481769561768,0.3495202660560608,0.9473684430122375,entity13,3,BN_adapt,logits,13,0.9144615530967712,0.9144615530967712,0.6615384817123413,0.6000000238418579,splits_entity13_BN_adapt_3_0_a9f9637e0b08.npz,a9f9637e0b08,True,True,,,,,,
iw_residual_dis2,1.0,0,6500,260,1625,65,0.9126153846153846,0.0,1.0,25.396963119506836,0.5,0.5,0.4976922869682312,0.24999010562896729,950.0,38.0,506.0,19.0,0.04284233538333156,0.5384615384615384,801.0,824.0,30.0,35.0,ok,plugin,False,,792.101134155715,800.9235839120635,0.9999904626019942,0.9917117197580985,0.9993540574389966,0.8,0.07462658700522781,0.11746892238855938,0.8825310776114406,0.8825310776114406,False,42.0,19.0,0.1951320767402649,0.6996047496795654,0.8947368264198303,entity13,3,BN_adapt,logits,13,0.9144615530967712,0.9144615530967712,0.6615384817123413,0.6000000238418579,splits_entity13_BN_adapt_3_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,0.08737864077669903,0.7487864077669902,0.05121359223300981,,,
iw_overlap_critic,2.0,0,6500,260,1625,65,0.9126153846153846,0.0,1.0,25.396963119506836,0.5,0.5,0.4976922869682312,0.24999010562896729,,,,,0.08743014291039441,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.6589756495289,1624.6969360668897,1.0638108333751262,1.000203957157243,1.0190105804730032,,0.0,0.08743014291039441,0.9125698570896056,0.9125698570896056,False,,,,,,entity13,3,BN_adapt,logits,13,0.9144615530967712,0.9144615530967712,0.6615384817123413,0.6000000238418579,splits_entity13_BN_adapt_3_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
iw_residual_dis2,2.0,0,6500,260,1625,65,0.9126153846153846,0.0,1.0,25.396963119506836,0.5,0.5,0.4976922869682312,0.24999010562896729,,,,,0.08743014291039441,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.6589756495289,1624.6969360668897,1.0638108333751262,1.000203957157243,1.0190105804730032,,0.0,0.08743014291039441,0.9125698570896056,0.9125698570896056,False,,,,,,entity13,3,BN_adapt,logits,13,0.9144615530967712,0.9144615530967712,0.6615384817123413,0.6000000238418579,splits_entity13_BN_adapt_3_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
