prediction_method,iw_threshold,seed,n_source,n_target,n_val_source,n_val_target,h_val_acc,domain_log_odds_clipped_count,source_strength,domain_temperature,domain_source_prior,domain_target_prior,domain_cal_balanced_accuracy,domain_cal_brier,n_source_critic_train_region,n_target_critic_train_region,n_source_critic_select_region,n_target_critic_select_region,iw_error_contribution,target_residual_mass,n_source_a,n_source_b,n_target_a,n_target_b,status,estimate_kind,confidence_bound_available,epsilon,iw_weight_sum,iw_effective_n,iw_weight_max,iw_weight_p50,iw_weight_p95,residual_target_disagreement,residual_error_contribution,error_estimate_raw,accuracy_estimate_raw,lower_bound,output_clipped,critic_epoch,critic_repeat,critic_selection_score,critic_selection_source_disagreement,critic_selection_target_disagreement,dataset,shift,train_method,bound_strategy,dim,src_accuracy,h_full_acc,trg_accuracy,trg_eval_accuracy,split_file,run_id,bound_valid,bound_valid_eval,residual_source_error,residual_source_disagreement,residual_discrepancy,delta,error_upper_bound_raw,max_ts_agree_diff
iw_residual_dis2,1.0,0,6500,33009,1625,8255,0.9033846153846153,0.0,1.0,1.650231957435608,0.5,0.5,0.5637879371643066,0.2481401264667511,760.0,5224.0,394.0,2654.0,0.04333556541809627,0.5316777710478497,922.0,703.0,3866.0,4389.0,ok,plugin,False,,816.3133081242554,914.8941682194576,0.9999378908802741,0.8962087513136356,0.990655945705353,0.617680565048986,0.15748358897965195,0.20081915439774822,0.7991808456022518,0.7991808456022518,False,49.0,24.0,0.17549988627433777,0.4593908488750458,0.6348907351493835,entity13,1,BN_adapt,logits,13,0.9027692079544067,0.9027692079544067,0.6835105419158936,0.6850394010543823,splits_entity13_BN_adapt_1_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,0.1166429587482219,0.43812233285917496,0.1795582321898111,,,
iw_overlap_critic,2.0,0,6500,33009,1625,8255,0.9033846153846153,0.0,1.0,1.650231957435608,0.5,0.5,0.5637879371643066,0.2481401264667511,1942.0,21.0,973.0,5.0,0.0985915376142921,0.0009691096305269534,1614.0,11.0,8247.0,8.0,ok,plugin,False,,1622.253699438164,1556.4153736577139,1.9990023979740943,0.9750486303414404,1.3807891168967,1.0,0.0009691096305269534,0.09956064724481906,0.9004393527551809,0.9004393527551809,False,49.0,2.0,0.6447920203208923,0.35520797967910767,1.0,entity13,1,BN_adapt,logits,13,0.9027692079544067,0.9027692079544067,0.6835105419158936,0.6850394010543823,splits_entity13_BN_adapt_1_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,,,,,,
iw_residual_dis2,2.0,0,6500,33009,1625,8255,0.9033846153846153,0.0,1.0,1.650231957435608,0.5,0.5,0.5637879371643066,0.2481401264667511,8.0,21.0,2.0,5.0,0.0985915376142921,0.0009691096305269534,1614.0,11.0,8247.0,8.0,ok,plugin,False,,1622.253699438164,1556.4153736577139,1.9990023979740943,0.9750486303414404,1.3807891168967,1.0,0.0,0.0985915376142921,0.9014084623857079,0.9014084623857079,False,5.0,22.0,0.5,0.5,1.0,entity13,1,BN_adapt,logits,13,0.9027692079544067,0.9027692079544067,0.6835105419158936,0.6850394010543823,splits_entity13_BN_adapt_1_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,0.0,1.0,0.0,,,
iw_overlap_critic,5.0,0,6500,33009,1625,8255,0.9033846153846153,0.0,1.0,1.650231957435608,0.5,0.5,0.5637879371643066,0.2481401264667511,,,,,0.0985915376142921,0.0,1625.0,0.0,8255.0,0.0,ok,plugin,False,,1646.3505484982188,1553.9305309350036,2.755795448625171,0.9764217405412956,1.4047130593153443,,0.0,0.0985915376142921,0.9014084623857079,0.9014084623857079,False,,,,,,entity13,1,BN_adapt,logits,13,0.9027692079544067,0.9027692079544067,0.6835105419158936,0.6850394010543823,splits_entity13_BN_adapt_1_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,,,,,,
iw_residual_dis2,5.0,0,6500,33009,1625,8255,0.9033846153846153,0.0,1.0,1.650231957435608,0.5,0.5,0.5637879371643066,0.2481401264667511,,,,,0.0985915376142921,0.0,1625.0,0.0,8255.0,0.0,ok,plugin,False,,1646.3505484982188,1553.9305309350036,2.755795448625171,0.9764217405412956,1.4047130593153443,,0.0,0.0985915376142921,0.9014084623857079,0.9014084623857079,False,,,,,,entity13,1,BN_adapt,logits,13,0.9027692079544067,0.9027692079544067,0.6835105419158936,0.6850394010543823,splits_entity13_BN_adapt_1_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,,,,,,
dis2_reference,,0,6500,33009,1625,8255,0.903384618461132,,,,,,,,,,,,,,,,,,ok,dis2_with_correction,True,0.07711571785933785,,,,,,,,0.21631495755340457,0.7836850424465954,0.7065693245872575,,38.0,25.0,0.15850907564163208,0.5292307734489441,0.6877398490905762,entity13,1,BN_adapt,logits,13,0.9027692079544067,0.9027692079544067,0.6835105419158936,0.6850394010543823,splits_entity13_BN_adapt_1_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,,,,0.01,0.2934306754127424,0.11969957601453662
iw_overlap_critic,1.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.4046154022216797,0.2502044141292572,1044.0,35.0,516.0,14.0,0.04659446035595056,0.4153846153846154,874.0,751.0,38.0,27.0,ok,plugin,False,,869.3635168552389,873.9855107234227,0.9999783995716639,0.9954214377364224,0.999617380506417,0.9629629629629629,0.4,0.4465944603559506,0.5534055396440494,0.5534055396440494,False,48.0,6.0,0.7007502317428589,0.2992497682571411,1.0,entity13,2,BN_adapt,logits,13,0.9160000085830688,0.9160000085830688,0.8538461327552795,0.892307698726654,splits_entity13_BN_adapt_2_0_f475b82dfdbf.npz,f475b82dfdbf,True,True,,,,,,
iw_residual_dis2,1.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.4046154022216797,0.2502044141292572,906.0,35.0,459.0,14.0,0.04659446035595056,0.4153846153846154,874.0,751.0,38.0,27.0,ok,plugin,False,,869.3635168552389,873.9855107234227,0.9999783995716639,0.9954214377364224,0.999617380506417,0.4444444444444444,-0.025565912117177098,0.02102854823877346,0.9789714517612266,0.9789714517612266,False,46.0,24.0,0.23015868663787842,0.5555555820465088,0.7857142686843872,entity13,2,BN_adapt,logits,13,0.9160000085830688,0.9160000085830688,0.8538461327552795,0.892307698726654,splits_entity13_BN_adapt_2_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,0.08388814913448735,0.5898801597869507,-0.14543571534250632,,,
iw_overlap_critic,2.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.4046154022216797,0.2502044141292572,,,,,0.08549179991355944,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.6031724391955,1624.9410484465059,1.0169836756982102,0.9994533431881897,1.0083758831004526,,0.0,0.08549179991355944,0.9145082000864405,0.9145082000864405,False,,,,,,entity13,2,BN_adapt,logits,13,0.9160000085830688,0.9160000085830688,0.8538461327552795,0.892307698726654,splits_entity13_BN_adapt_2_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,,,,,,
iw_residual_dis2,2.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.4046154022216797,0.2502044141292572,,,,,0.08549179991355944,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.6031724391955,1624.9410484465059,1.0169836756982102,0.9994533431881897,1.0083758831004526,,0.0,0.08549179991355944,0.9145082000864405,0.9145082000864405,False,,,,,,entity13,2,BN_adapt,logits,13,0.9160000085830688,0.9160000085830688,0.8538461327552795,0.892307698726654,splits_entity13_BN_adapt_2_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,,,,,,
